store_id,field,values,source_record_keys
50a1b9a8-e1ec-4758-b734-c391a4a32e29,mobile_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:201503|stores_20260907.xlsx:Sheet1:99144
1d11f469-7b3d-4795-aa5a-963c47cffb3b,item,"[""실리콘,접착제"", ""실리콘""]",stores_20260907.xlsx:Sheet1:99940|stores_20260907.xlsx:Sheet1:99948
637f0752-1bf6-474e-9dc8-8a21cb96d035,geo,"[{""latitude"": 35.101635, ""longitude"": 129.02682}, {""latitude"": 35.101636471, ""longitude"": 129.026832631}]",stores_20260907.xlsx:Sheet1:100318|stores_20260907.xlsx:Sheet1:100321
637f0752-1bf6-474e-9dc8-8a21cb96d035,mobile_payment,"[np.False_, np.True_]",stores_20260907.xlsx:Sheet1:100318|stores_20260907.xlsx:Sheet1:100321
ed3697a3-3ac6-494a-a328-be70d68018e9,item,"[""수산물"", ""활어회""]",stores_20260907.xlsx:Sheet1:100981|stores_20260907.xlsx:Sheet1:202284
ed3697a3-3ac6-494a-a328-be70d68018e9,mobile_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:100981|stores_20260907.xlsx:Sheet1:202284
2759ee09-637e-4a6a-9488-181aa0b4e1c5,item,"[""육류"", ""축산물""]",stores_20260907.xlsx:Sheet1:101769|stores_20260907.xlsx:Sheet1:193083
2759ee09-637e-4a6a-9488-181aa0b4e1c5,geo,"[{""latitude"": 37.489388, ""longitude"": 126.86489}, {""latitude"": 37.489401993, ""longitude"": 126.864869185}]",stores_20260907.xlsx:Sheet1:101769|stores_20260907.xlsx:Sheet1:193083
2759ee09-637e-4a6a-9488-181aa0b4e1c5,mobile_payment,"[np.False_, np.True_]",stores_20260907.xlsx:Sheet1:101769|stores_20260907.xlsx:Sheet1:193083
fa8363b9-c180-4c04-bbd2-e65f2bad7ff1,item,"[""미용"", ""헤어디자인""]",stores_20260907.xlsx:Sheet1:102264|stores_20260907.xlsx:Sheet1:102265
81f130a7-2065-4748-9f7e-95d40253d9a2,item,"[""미용실"", ""미용""]",stores_20260907.xlsx:Sheet1:109350|stores_20260907.xlsx:Sheet1:126024
ad72de96-446d-4c12-acd8-9e05777062b0,item,"[""커피 및 음료"", ""커피""]",stores_20260907.xlsx:Sheet1:114429|stores_20260907.xlsx:Sheet1:181849
ad72de96-446d-4c12-acd8-9e05777062b0,geo,"[{""latitude"": 35.16706444, ""longitude"": 126.855359054}, {""latitude"": 35.1670644753, ""longitude"": 126.8553590538}]",stores_20260907.xlsx:Sheet1:114429|stores_20260907.xlsx:Sheet1:181849
f457144a-9013-465a-aafd-a4d83e01c890,geo,"[{""latitude"": 34.885471012, ""longitude"": 128.622919367}, {""latitude"": 34.885551324, ""longitude"": 128.6228727123}]",stores_20260907.xlsx:Sheet1:118637|stores_20260907.xlsx:Sheet1:213447
fe384390-a0f9-4ae9-8c39-8e2bcdbbd5a9,item,"[""음료 제조 카페 비루공방"", ""카페""]",stores_20260907.xlsx:Sheet1:121082|stores_20260907.xlsx:Sheet1:123361
a8422171-10f9-4d14-b416-6a7e3abf774e,item,"[""제과점"", ""케이크 커피 과자""]",stores_20260907.xlsx:Sheet1:135340|stores_20260907.xlsx:Sheet1:160544
17e93e54-299f-4216-ae41-19014eab5028,item,"[""두피미용"", ""이미용서비스업""]",stores_20260907.xlsx:Sheet1:135942|stores_20260907.xlsx:Sheet1:137317
0b79859e-a533-40da-9a8c-acda129e8875,item,"[""한식"", ""음식점업(한식)""]",stores_20260907.xlsx:Sheet1:137872|stores_20260907.xlsx:Sheet1:210317
0b79859e-a533-40da-9a8c-acda129e8875,merchant_no,"[""025157743"", ""03180151151""]",stores_20260907.xlsx:Sheet1:137872|stores_20260907.xlsx:Sheet1:210317
0b79859e-a533-40da-9a8c-acda129e8875,geo,"[{""latitude"": 37.512681097, ""longitude"": 127.018457229}, {""latitude"": 37.5126811342, ""longitude"": 127.0184572287}]",stores_20260907.xlsx:Sheet1:137872|stores_20260907.xlsx:Sheet1:210317
a8a3c299-3348-470e-b1cc-da3a50cf48af,item,"[""식육"", ""돈육""]",stores_20260907.xlsx:Sheet1:139878|stores_20260907.xlsx:Sheet1:174776
8b2acecf-0aae-418d-95c7-182341aff5fe,item,"[""축산물"", ""한식""]",stores_20260907.xlsx:Sheet1:157614|stores_20260907.xlsx:Sheet1:170837
e1ddad9b-9653-4dfa-b531-ed6d1fb0fe2a,item,"[""한식 음식"", ""각종찌개 삼겹살""]",stores_20260907.xlsx:Sheet1:167426|stores_20260907.xlsx:Sheet1:177448
8c4aa1ed-da08-4335-abe8-15d0849592c2,geo,"[{""latitude"": 37.441417594, ""longitude"": 127.132107457}, {""latitude"": 37.4414176314, ""longitude"": 127.1321074575}]",stores_20260907.xlsx:Sheet1:169835|stores_20260907.xlsx:Sheet1:177853
57d48af7-beeb-4f06-9a0e-4528948dd2c4,item,"[""서비스"", ""문화예술""]",stores_20260907.xlsx:Sheet1:174007|stores_20260907.xlsx:Sheet1:179855
0faefc97-e567-4305-97c8-7abb617e7457,item,"[""커피, 와플"", ""와플""]",stores_20260907.xlsx:Sheet1:174009|stores_20260907.xlsx:Sheet1:178882
249d8bf4-94bd-4abb-b11e-27bbc7bdb483,item,"[""지금 열쇠 시계 도장"", ""지금 열쇠 시계""]",stores_20260907.xlsx:Sheet1:174641|stores_20260907.xlsx:Sheet1:181663
67d63c91-2536-4d42-9612-88ac5c5e60f5,item,"[""분식"", ""음식점""]",stores_20260907.xlsx:Sheet1:177889|stores_20260907.xlsx:Sheet1:181713
79cbdad8-8dc8-49ba-a76a-e522e0a0983d,item,"[""한식"", ""음식""]",stores_20260907.xlsx:Sheet1:178992|stores_20260907.xlsx:Sheet1:194360
07b235a7-143c-4c9b-8274-969b13972da2,merchant_no,"[""01030714957"", ""0535714958""]",stores_20260907.xlsx:Sheet1:196590|stores_20260907.xlsx:Sheet1:204144
